noeea,name,x_icold,y_icold,score,x_prop,y_prop,x_val,y_val,area,cap_total,ic_city,country,lake_name,river_id,river_name,year_opp,year_dead,comments,valid,ic_continent,is_main,noeea_m,is_icold,alias,ic_year,ic_state,ic_high,ic_high_guessed,ic_length,ic_length_guessed,ic_vol,ic_purpose,ic_owner,ic_note,ic_particular,ic_international,ic_sealing,ic_foundation,ic_capacity,ic_area,ic_spill,ic_type_spill,ic_engineer,ic_contractor,ic_p_mw,ic_e_whpyear,ic_irrigation,ic_floodstock,ic_settlement,
"DAL0001","KRAHES 1","-32768","-32768","0","-32768","-32768","0","0","144","1100","Peqin","AL","","11539","","-32768","-32768","","","","t","","t","","1967","Peqin","23","f","330","f","228","I","M.Bujq","","U","","h","R","1100","144","90","L","ISPVU","NNB","","","","","",
"DAL0002","KRAHES 2","-32768","-32768","0","-32768","-32768","0","0","97","600","Tepelene","AL","","10240","","-32768","-32768","","","","t","","t","","1968","Tepelene","30","f","300","f","300","I","M.Bujq","","U","","h","S/R","600","97","5","L","ISPVU","NNB","","","","","",
"DAL0003","KRYEKUQI","-32768","-32768","0","-32768","-32768","0","0","260","1800","Lushnje","AL","","10000","","-32768","-32768","","","","t","","t","","1967","Lushnje","16","f","223","f","105","I","M.Bujq","","U","","h","S","1800","260","15","L","ISPVU","NNB","","","","","",
"DAL0004","KUC","-32768","-32768","0","-32768","-32768","0","0","24","142","Corovode","AL","","9296","","-32768","-32768","","","","t","","t","","1988","Skrapar","26","f","167","f","121","I","M.Bujq","","U","","h","S","142","24","2","L","ISPVU","NNB","","","","","",
"DAL0005","KUKAJ","-32768","-32768","0","-32768","-32768","0","0","210","1200","Puke","AL","","10002","","-32768","-32768","","","","t","","t","","1984","Puke","18","f","160","f","160","I","M.Bujq","","U","","h","R","1200","210","15","L","ISPVU","NNB","","","","","",
"DAL0006","KUPLAN","-32768","-32768","0","-32768","-32768","0","0","7","200","Peshkopi","AL","","8636","","-32768","-32768","","","","t","","t","","1989","Diber","26","f","170","f","110","I","M.Bujq","","U","","h","S","200","7","1","L","ISPVU","NNB","","","","","",
"DAL0007","KURJAN","-32768","-32768","0","-32768","-32768","0","0","2900","32700","Roskovec","AL","","10008","","-32768","-32768","","","","t","","t","","1963","Fier","26","f","476","f","356","I","M.Bujq","","U","","h","S","32700","2900","","V","E.Sovj","NNB","","","","","",
"DAL0008","KUTE CORRUSH","-32768","-32768","0","-32768","-32768","0","0","158","1460","Ballsh","AL","","10680","","-32768","-32768","","","","t","","t","","1970","Mallakaster","22","f","251","f","300","I","M.Bujq","","U","","h","S","1460","158","","L","ISPVU","NNB","","","","","",
"DAL0009","KUTRER","-32768","-32768","0","-32768","-32768","0","0","15","400","Tirane","AL","","-32768","","-32768","-32768","","","","t","","t","","1981","Tirane","16","f","90","f","44","I","M.Bujq","","U","","h","S","400","15","","L","ISPVU","NNB","","","","","",
"DAL0010","LAC-1","-32768","-32768","0","-32768","-32768","0","0","40","400","Burrel","AL","","10329","","-32768","-32768","","","","t","","t","","1978","Mat","22","f","287","f","160","I","M.Bujq","","U","","h","S","400","40","2","L","ISPVU","NNB","","","","","",
"DAL0011","LAVDAN","-32768","-32768","0","-32768","-32768","0","0","36","400","Korce","AL","","10087","","-32768","-32768","","","","t","","t","","1967","Korce","17","f","130","f","37","I","M.Bujq","","U","","h","S","400","36","5","L","ISPVU","NNB","","","","","",
"DAL0012","LEMINOT","-32768","-32768","0","-32768","-32768","0","0","120","1200","Korce","AL","","10114","","-32768","-32768","","","","t","","t","","1972","Korce","33","f","180","f","220","I","M.Bujq","","U","","h","S","1200","120","18","L","ISPVU","NNB","","","","","",
"DAL0013","LESHNICE","-32768","-32768","0","-32768","-32768","0","0","20","120","Sarande","AL","","10121","","-32768","-32768","","","","t","","t","","1978","Sarande","18","f","160","f","40","I","M.Bujq","","U","","h","S","120","20","2","L","ISPVU","NNB","","","","","",
"DAL0014","LESHNICE","-32768","-32768","0","-32768","-32768","0","0","138","1390","Kukes","AL","","10121","","-32768","-32768","","","","t","","t","","1989","Kukes","32","f","160","f","212","I","M.Bujq","","U","","h","S","1390","138","53","L","ISPVU","NNB","","","","","",
"DAL0015","LETAJ","-32768","-32768","0","-32768","-32768","0","0","220","1500","Kukes","AL","","10125","","-32768","-32768","","","","t","","t","","1968","Kukes","22","f","250","f","240","I","M.Bujq","","U","","h","S","1500","220","35","L","ISPVU","NNB","","","","","",
"DAL0016","LIKESH","-32768","-32768","0","-32768","-32768","0","0","375","2490","Shijak","AL","","10145","","-32768","-32768","","","","t","","t","","1986","Shijak","22","f","380","f","234","I","M.Bujq","","U","","h","S","2490","375","45","L","ISPVU","NNB","","","","","",
"DAL0017","LIQEDHI","-32768","-32768","0","-32768","-32768","0","0","33","180","Corovode","AL","","10661","","-32768","-32768","","","","t","","t","","1975","Skrapar","25","f","207","f","67","I","M.Bujq","","U","","h","S","180","33","0.3","L","ISPVU","NNB","","","","","",
"DAL0018","LIQENI ARTIFICIAL","-32768","-32768","0","-32768","-32768","0","0","356","1460","Tirane","AL","","11181","","-32768","-32768","","","","t","","t","","1959","Tirane","16.6","f","500","f","110","IFR","Mairie","","H","","h","S","1460","356","","L","ISPVU","NNB","","","","","",
"DAL0019","LIZ 1","-32768","-32768","0","-32768","-32768","0","0","150","1090","Kavaje","AL","","10178","","-32768","-32768","","","","t","","t","","1987","Kavaje","27","f","128","f","112","I","M.Bujq","","U","","h","S","1090","150","45","L","ISPVU","NNB","","","","","",
"DAL0020","LIZ 2","-32768","-32768","0","-32768","-32768","0","0","110","570","Kavaje","AL","","10178","","-32768","-32768","","","","t","","t","","1988","Kavaje","29","f","175","f","110","I","M.Bujq","","U","","h","S","570","110","20","L","ISPVU","NNB","","","","","",
"DAL0021","LLAKAJ","-32768","-32768","0","-32768","-32768","0","0","230","2500","Kukes","AL","","10181","","-32768","-32768","","","","t","","t","","1965","Kukes","21","f","","f","560","I","M.Bujq","","U","","h","S","2500","230","35","L","ISPVU","NNB","","","","","",
"DAL0022","LUMAR 2","-32768","-32768","0","-32768","-32768","0","0","270","2800","Ballsh","AL","","9439","","-32768","-32768","","","","t","","t","","1983","Mallakaster","37","f","320","f","650","I","M.Bujq","","U","","h","S","2800","270","85","L","ISPVU","NNB","","","","","",
"DAL0023","LUMARI-1","-32768","-32768","0","-32768","-32768","0","0","344","4000","Ballsh","AL","","9439","","-32768","-32768","","","","t","","t","","1979","Fier","60","f","236","f","565","I","M.Bujq","","U","","ie","S","4000","344","","L","ISPVU","NNB","","","","","",
"DAL0024","LUMI I ZI","-32768","-32768","0","-32768","-32768","0","0","220","2500","Diber","AL","","10241","","-32768","-32768","","","","t","","t","","1977","Diber","30","f","50","f","15","I","M.Bujq","","U","","h","S","2500","220","1","L","ISPVU","NNB","","","","","",
"DAL0025","MALAJ","-32768","-32768","0","-32768","-32768","0","0","120","2300","Rreshen","AL","","10284","","-32768","-32768","","","","t","","t","","1973","Mirdite","40","f","180","f","336","I","M.Bujq","","U","","h","R/S","2300","120","53","L","ISPVU","NNB","","","","","",
"DAL0026","MALAJ 2","-32768","-32768","0","-32768","-32768","0","0","85","747","Rreshen","AL","","11253","","-32768","-32768","","","","t","","t","","1989","Mirdite","29","f","143","f","100","I","M.Bujq","","U","","h","S/R","747","85","22","L","ISPVU","NNB","","","","","",
"DAL0027","MALTHIKE","-32768","-32768","0","-32768","-32768","0","0","87","370","U.Vajgurore","AL","","10288","","-32768","-32768","","","","t","","t","","1982","Berat","18","f","282","f","152","I","M.Bujq","","U","","h","S","370","87","10","L","ISPVU","NNB","","","","","",
"DAL0028","MAMAJ","-32768","-32768","0","-32768","-32768","0","0","29","50","Delvine","AL","","10289","","-32768","-32768","","","","t","","t","","1968","Delvine","17","f","110","f","42","I","M.Bujq","","U","","h","R","50","29","14","L","ISPVU","NNB","","","","","",
"DAL0029","MANASTIR","-32768","-32768","0","-32768","-32768","0","0","51","348","U.Vajgurore","AL","","10292","","-32768","-32768","","","","t","","t","","1978","Berat","22","f","282","f","221","I","M.Bujq","","U","","h","S","348","51","","L","ISPVU","NNB","","","","","",
"DAL0030","MANASUFAJ","-32768","-32768","0","-32768","-32768","0","0","350","700","Lushnje","AL","","10293","","-32768","-32768","","","","t","","t","","1987","Lushnje","19","f","230","f","105","I","M.Bujq","","U","","h","S","700","350","11","L","ISPVU","NNB","","","","","",
"DAL0031","MANSKURI","-32768","-32768","0","-32768","-32768","0","0","630","5600","Durres","AL","","10303","","-32768","-32768","","","","t","","t","","1969","Durres","36","f","220","f","315","I","M.Bujq","","U","","h","S","5600","630","37","L","ISPVU","NNB","","","","","",
"DAL0032","MARKEZH","-32768","-32768","0","-32768","-32768","0","0","64","355","Erseke","AL","","10317","","-32768","-32768","","","","t","","t","","1981","Kolonje","24","f","337","f","156","I","M.Bujq","","U","","h","S","355","64","4","L","ISPVU","NNB","","","","","",
"DAL0033","MARUSHE","-32768","-32768","0","-32768","-32768","0","0","66","515","Ballsh","AL","","10453","","-32768","-32768","","","","t","","t","","1975","Mallakaster","17.8","f","148","f","116","I","M.Bujq","","U","","h","S","515","66","","L","ISPVU","NNB","","","","","",
"DAL0034","MASKURI VOGEL","-32768","-32768","0","-32768","-32768","0","0","40","215","Shijak","AL","","10303","","-32768","-32768","","","","t","","t","","1970","Durres","16","f","142","f","52","I","M.Bujq","","U","","h","S","215","40","12","L","ISPVU","NNB","","","","","",
"DAL0035","MBJESHOVE","-32768","-32768","0","-32768","-32768","0","0","38","255","Berat","AL","","10346","","-32768","-32768","","","","t","","t","","1979","Berat","27","f","207","f","115","I","M.Bujq","","U","","h","S","255","38","5","L","ISPVU","NNB","","","","","",
"DAL0036","MBOLAN","-32768","-32768","0","-32768","-32768","0","0","42","247","Berat","AL","","10347","","-32768","-32768","","","","t","","t","","1976","Berat","16","f","156","f","110","I","M.Bujq","","U","","h","S","247","42","13.8","L","ISPVU","NNB","","","","","",
"DAL0037","MBRESHTAN","-32768","-32768","0","-32768","-32768","0","0","142","900","Berat","AL","","10348","","-32768","-32768","","","","t","","t","","1970","Berat","28","f","150","f","250","I","M.Bujq","","U","","h","S","900","142","17","L","ISPVU","NNB","","","","","",
"DAL0038","METALL","-32768","-32768","0","-32768","-32768","0","0","380","2100","Shijak","AL","","10378","","-32768","-32768","","","","t","","t","","1965","Durres","17","f","300","f","170","I","M.Bujq","","U","","h","S","2100","380","15","L","ISPVU","NNB","","","","","",
"DAL0039","METALLE D-1","-32768","-32768","0","-32768","-32768","0","0","2300","3220","Shijak","AL","","-32768","","-32768","-32768","","","","t","","t","","1988","Durres","35","f","1113","f","1666","I","M.Bujq","","U","","h","S","3220","2300","","L","ISPVU","NNB","","","","","",
