cd_user,cd_dam,
41,DSI0006,
41,DSI0005,
41,DSI0022,
41,DSI0030,
41,DSI0018,
41,DSI0009,
41,DSI0004,
41,DSI0015,
41,DSI0019,
41,DSI0011,
41,DSI0020,
41,DSI0014,
41,DSI0023,
41,DSI0010,
41,DSI0016,
41,DSI0001,
41,DSI0025,
41,DSI0012,
41,DSI0002,
41,DSI0029,
41,DSI0026,
41,DSI0008,
41,DSI0024,
41,DSI0021,
41,DSI0007,
41,DSI0028,
41,DSI0017,
41,DSI0013,
41,DSI0027,
41,DSI0003,
42,DDE0231,
42,DDE0265,
42,DDE0115,
42,DDE0130,
42,DDE0317,
42,DDE0289,
42,DDE0328,
42,DDE0242,
42,DDE0150,
42,DDE0019,
42,DDE0120,
42,DDE0293,
42,DDE0059,
42,DDE0195,
42,DDE0203,
42,DDE0129,
42,DDE0170,
42,DDE0015,
42,DDE0290,
42,DDE0214,
42,DDE0238,
42,DDE0239,
42,DDE0053,
42,DDE0267,
42,DDE0240,
42,DDE0098,
42,DDE0106,
42,DDE0243,
42,DDE0016,
42,DDE0039,
42,DDE0304,
42,DDE0010,
42,DDE0232,
42,DDE0028,
42,DDE0310,
42,DDE0275,
42,DDE0112,
42,DDE0099,
42,DDE0165,
42,DDE0207,
42,DDE0108,
42,DDE0151,
42,DDE0325,
42,DDE0096,
42,DDE0123,
42,DDE0054,
42,DDE0302,
42,DDE0318,
42,DDE0300,
42,DDE0132,
42,DDE0103,
42,DDE0315,
42,DDE0175,
42,DDE0069,
42,DDE0215,
42,DDE0026,
42,DDE0001,
42,DDE0152,
42,DDE0221,
42,DDE0158,
42,DDE0247,
42,DDE0088,
42,DDE0305,
42,DDE0047,
42,DDE0080,
42,DDE0193,
42,DDE0313,
42,DDE0057,
42,DDE0248,
42,DDE0208,
42,DDE0105,
42,DDE0301,
42,DDE0256,
42,DDE0050,
42,DDE0261,
42,DDE0083,
42,DDE0316,
42,DDE0222,
42,DDE0089,
42,DDE0262,
42,DDE0137,
42,DDE0291,
42,DDE0168,
42,DDE0181,
42,DDE0090,
42,DDE0223,
42,DDE0278,
42,DDE0274,
42,DDE0058,
42,DDE0187,
42,DDE0056,
42,DDE0259,
42,DDE0306,
42,DDE0279,
42,DDE0160,
42,DDE0204,
42,DDE0209,
42,DDE0323,
42,DDE0146,
42,DDE0116,
42,DDE0091,
